Reporting Starts,Reporting Ends,Ad Name,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Website Purchases,Cost per Website Purchase (USD)
5/28/2016,4/27/2017,1. Medal - Pi in the Sky,inactive,47,actions:offsite_conversion.fb_pixel_purchase,35825,7.160212766,336.53,39397,8.542020966,47,7.160212766
5/28/2016,4/27/2017,6. Medal - Spin Video,inactive,14,actions:offsite_conversion.fb_pixel_purchase,14934,10.815,151.41,17528,8.638178914,14,10.815
5/28/2016,4/27/2017,6. Medal - Spin Video,inactive,19,actions:offsite_conversion.fb_pixel_purchase,1332,2.677368421,50.87,2603,19.54283519,19,2.677368421
5/28/2016,4/27/2017,6. Medal - Spin Video,inactive,2,actions:offsite_conversion.fb_pixel_purchase,7160,45.73,91.46,7917,11.55235569,2,45.73
5/28/2016,4/27/2017,6. Medal - Spin Video,inactive,29,actions:offsite_conversion.fb_pixel_purchase,10341,9.213448276,267.19,19244,13.88432758,29,9.213448276
5/28/2016,4/27/2017,6. Medal - Spin Video,inactive,19,actions:offsite_conversion.fb_pixel_purchase,19705,12.43631579,236.29,22304,10.59406385,19,12.43631579
5/28/2016,4/27/2017,6. Medal - Spin Video,inactive,51,actions:offsite_conversion.fb_pixel_purchase,8842,5.499607843,280.48,18380,15.26006529,51,5.499607843
5/28/2016,4/27/2017,3. Medal - Beach,inactive,,,233,,1.82,237,7.679324895,,
5/28/2016,4/27/2017,3. Medal - Beach,inactive,2,actions:offsite_conversion.fb_pixel_purchase,582,7.3,14.6,712,20.50561798,2,7.3
5/28/2016,4/27/2017,3. Medal - Beach,inactive,,,663,,5.57,678,8.215339233,,
5/28/2016,4/27/2017,3. Medal - Beach,inactive,1,actions:offsite_conversion.fb_pixel_purchase,653,6.06,6.06,708,8.559322034,1,6.06
5/28/2016,4/27/2017,3. Medal - Beach,inactive,,,138,,0.95,142,6.690140845,,
5/28/2016,4/27/2017,3. Medal - Beach,inactive,,,63,,0.91,63,14.44444444,,
5/28/2016,4/27/2017,5. Medal - Clouds 2,inactive,1,actions:offsite_conversion.fb_pixel_purchase,612,4.19,4.19,618,6.779935275,1,4.19
5/28/2016,4/27/2017,5. Medal - Clouds 2,inactive,,,324,,6.67,354,18.84180791,,
5/28/2016,4/27/2017,5. Medal - Clouds 2,inactive,,,516,,3.5,535,6.542056075,,
5/28/2016,4/27/2017,5. Medal - Clouds 2,inactive,,,522,,5.25,532,9.868421053,,
5/28/2016,4/27/2017,5. Medal - Clouds 2,inactive,,,938,,9.89,979,10.10214505,,
5/28/2016,4/27/2017,5. Medal - Clouds 2,inactive,9,actions:offsite_conversion.fb_pixel_purchase,3469,7.554444444,67.99,5142,13.22248152,9,7.554444444
5/28/2016,4/27/2017,2. Full Swag - Love in the Air 2,inactive,,,2706,,34.95,2796,12.5,,
5/28/2016,4/27/2017,2. Full Swag - Love in the Air 2,inactive,2,actions:offsite_conversion.fb_pixel_purchase,3429,28.1,56.2,3564,15.7687991,2,28.1
